t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177484.929410,472.859000,472.947000,472.871000,1774177484.831310,2.000000,2.000000,480,640,0.200544,2.536816,0.754670,9.899641,9.899641,0.953740,0.935881,0.964327,1.187745,1.997450,2.784126,1.878454,3.356144,4.431140,0.939542,9.899641,9.899641,9.899641,0.200544,2.536816,0.754670
1774177485.029382,472.959000,473.047000,472.871000,1774177484.831310,2.000000,2.000000,480,640,0.200543,2.522314,0.757302,9.887370,9.887370,0.955463,0.938205,0.967559,1.193933,2.015587,2.749661,1.859381,3.346865,4.416068,0.942050,9.887370,9.887370,9.887370,0.200543,2.522314,0.757302
1774177485.129466,473.059000,473.147000,473.071000,1774177485.031250,2.000000,2.000000,480,640,0.200539,2.507855,0.760886,9.873306,9.873306,0.957468,0.940656,0.970725,1.199588,2.031167,2.721636,1.844298,3.339008,4.391779,0.944637,9.873306,9.873306,9.873306,0.200539,2.507855,0.760886
1774177485.229504,473.159000,473.247000,473.071000,1774177485.031250,2.000000,2.000000,480,640,0.200536,2.493453,0.765442,9.857149,9.857149,0.959821,0.943295,0.973883,1.204584,2.043655,2.700480,1.833343,3.332731,4.357084,0.947236,9.857149,9.857149,9.857149,0.200536,2.493453,0.765442
1774177485.330629,473.259000,473.347000,473.071000,1774177485.231183,2.000000,2.000000,480,640,0.200536,2.479120,0.770981,9.838823,9.838823,0.962443,0.946025,0.976905,1.208864,2.052849,2.686082,1.815047,3.298888,4.311890,0.949810,9.838823,9.838823,9.838823,0.200536,2.479120,0.770981
1774177485.429483,473.359000,473.447000,473.371000,1774177485.231183,2.000000,2.000000,480,640,0.200537,2.464871,0.777411,9.818312,9.818312,0.965334,0.948851,0.979802,1.212393,2.058640,2.678331,1.792010,3.293223,4.256431,0.955403,1.010359,9.818312,9.818312,0.200537,2.464871,0.777411
1774177485.529531,473.459000,473.547000,473.472000,1774177485.431183,2.000000,2.000000,480,640,0.200537,2.450718,0.784908,9.795855,9.795855,0.968453,0.951747,0.982569,1.215221,2.061322,2.676532,1.768123,3.291541,4.192129,0.961005,1.006641,9.795855,9.795855,0.200537,2.450718,0.784908
1774177485.629536,473.559000,473.647000,473.571000,1774177485.431183,2.000000,2.000000,480,640,0.200538,2.436679,0.793364,9.771097,9.771097,0.971832,0.954714,0.985163,1.217185,2.060240,2.681992,1.761694,3.262846,4.117706,0.963650,1.002343,9.771097,9.771097,0.200538,2.436679,0.793364
1774177485.729357,473.659000,473.747000,473.671000,1774177485.631143,2.000000,2.000000,480,640,0.200539,2.422766,0.802753,9.744376,9.744376,0.975426,0.957726,0.987584,1.218362,2.055840,2.694097,1.735624,3.262499,4.035055,0.966164,0.997570,9.744376,9.744376,0.200539,2.422765,0.802753
1774177485.829482,473.759000,473.847000,473.671000,1774177485.631143,2.000000,2.000000,480,640,0.200541,2.408993,0.813041,9.715853,9.715853,0.979218,0.960771,0.989827,1.218771,2.048293,2.712925,1.718502,3.246885,3.945233,0.976059,0.992375,9.715853,9.715853,0.200541,2.408993,0.813041
1774177485.930978,473.859000,473.947000,473.671000,1774177485.831226,2.000000,2.000000,480,640,0.200543,2.395376,0.824187,9.685720,9.685720,0.983191,0.963837,0.991889,1.218439,2.037825,2.738596,1.699330,3.239805,3.849402,0.978583,0.986820,9.685720,9.685720,0.200543,2.395376,0.824187
1774177486.029403,473.959000,474.047000,473.972000,1774177485.831226,2.000000,2.000000,480,640,0.200545,2.381928,0.836141,9.693491,9.693491,0.987327,0.966865,0.993769,1.217406,2.024707,2.771276,1.684846,3.216457,3.748774,1.018321,0.981324,9.693491,9.693491,0.200545,2.381928,0.836141
1774177486.129529,474.059000,474.147000,474.072000,1774177486.031202,2.000000,2.000000,480,640,0.200547,2.368662,0.848844,9.659654,9.659654,0.991610,0.969842,0.995472,1.215724,2.009260,2.811125,1.659557,3.222549,3.644612,1.079085,0.992017,9.659654,9.659654,0.200547,2.368662,0.848844
1774177486.229416,474.159000,474.247000,474.172000,1774177486.031202,2.000000,2.000000,480,640,0.200550,2.355591,0.862232,9.664909,9.664909,0.996018,0.972801,0.997005,1.213452,1.991823,2.858338,1.647741,3.201823,3.538131,1.143131,0.994439,9.664909,9.664909,0.200550,2.355591,0.862232
1774177486.329381,474.259000,474.347000,474.272000,1774177486.231257,2.000000,2.000000,480,640,0.200553,2.342727,0.876233,9.627974,9.627974,1.000533,0.975650,0.998374,1.210653,1.972748,2.913119,1.627305,3.182643,3.430482,1.210721,1.006578,9.627974,9.627974,0.200553,2.342727,0.876233
1774177486.429380,474.359000,474.447000,474.272000,1774177486.231257,2.000000,2.000000,480,640,0.200556,2.330081,0.890770,9.590535,9.590535,1.005133,0.978417,0.999590,1.207398,1.952390,2.975673,1.603629,3.191171,3.322724,1.282102,1.009146,9.590535,9.590535,0.200556,2.330081,0.890770
