t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774534855.551122,1,1,0.425221,0.925093,0.425221,1.850186,0.031004,0.001386,2.998774,1.514309,0.343766,1.207206,1000.000000,0,0,0,,-0.014229,0.000612,0.000000,-0.000000,-0.060360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534855.731130,1,2,-0.135301,0.993749,-0.135301,1.987499,0.025923,-0.002020,3.002132,1.196593,-0.210119,1.615868,1000.000000,0,0,0,,0.083785,-0.001679,0.000000,-0.000000,-0.080793,0.000000,-0.006978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534855.920702,1,3,-0.558895,0.980329,-0.558895,1.960659,-0.046932,-0.048096,3.048458,0.827182,-0.609821,1.893026,1000.000000,0,0,0,,0.036161,-0.023163,0.000000,-0.000000,-0.094651,0.000000,-0.004504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534856.102388,1,4,0.580778,0.807272,0.580778,1.614543,-0.081202,-0.062655,3.063731,0.482962,0.230880,0.943812,1000.000000,0,0,0,,0.584372,-0.007637,0.000000,-0.000000,-0.047191,0.000000,-0.014858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534856.283049,1,5,0.106100,-0.584400,0.106100,-1.168800,-0.064825,-0.032062,3.032755,0.565224,0.106223,-1.067969,1000.000000,0,0,0,,0.490012,0.015488,0.000000,-0.000000,-0.053398,0.000000,-0.032580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534856.463358,1,6,0.296571,0.373952,0.296571,0.747905,-0.042561,0.001812,2.998490,0.524288,0.295449,0.689621,1000.000000,0,0,0,,0.634447,0.017132,0.000000,-0.000000,-0.034481,0.000000,-0.021072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534856.643178,1,7,0.195426,0.107449,0.195426,0.214897,-0.024616,0.033556,2.966546,0.485666,0.193221,0.195274,1000.000000,0,0,0,,0.633012,0.015972,0.000000,-0.000000,-0.009764,0.000000,-0.006342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534856.822627,1,8,0.159950,0.052799,0.159950,0.105599,-0.011115,0.059212,2.940810,0.472039,0.157755,0.094617,1000.000000,0,0,0,,0.625377,0.012868,0.000000,-0.000000,-0.004731,0.000000,-0.001448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534857.013679,1,9,-0.026627,0.851153,-0.026627,1.702307,-0.010257,0.060286,2.939732,0.206878,-0.025894,1.560393,1000.000000,0,0,0,,0.376687,0.000539,0.000000,-0.000000,-0.078020,-0.100000,-0.017833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774534857.194643,1,10,0.864464,-0.161656,0.864464,-0.323313,-0.002146,0.100925,2.899076,0.043725,0.488894,0.530658,1000.000000,0,0,0,,0.857110,0.020328,0.000000,-0.000000,-0.026533,0.000000,-0.029167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
