t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,lidar_front_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_direction,reward_safe,reward_risk,reward_front_safe,reward_front_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1777061056.020188,1,12,0.974499,-0.111028,0.987250,-0.055514,4.797749,3.582694,14.421020,-0.364671,0.987703,-0.050053,3.162004,6.390318,0,0,0,,0.207495,0.000000,0.000000,0.100000,-0.093710,0.000000,-0.000000,-0.002503,0.000000,-0.000387,0.000000,3.686272,3.439238,3.162004,3.163726,3.516505,4.919520,11.512113,9.348844,5.890138,4.923732,4.837730,4.992980,3.951819,3.481577,3.470929
1777061056.170382,1,13,0.974968,-0.150777,0.987484,-0.075389,4.745471,3.731637,14.273411,-0.359101,0.987941,-0.068442,3.195837,6.374617,0,0,0,,0.155412,0.000000,0.000000,0.100000,-0.092740,0.000000,-0.000000,-0.003422,0.000000,-0.000201,0.000000,3.778862,3.483757,3.195837,3.196996,3.545121,4.941467,11.427047,9.364207,5.870543,4.894562,4.804244,4.952031,4.068969,3.576181,3.563634
1777061056.329601,1,14,0.975359,-0.163979,0.987679,-0.081990,4.697891,3.871800,14.134655,-0.352098,0.988127,-0.074463,3.261220,6.365252,0,0,0,,0.227061,0.000000,0.000000,0.100000,-0.090898,0.000000,-0.000000,-0.003723,0.000000,-0.000068,0.000000,3.957341,3.576937,3.261220,3.261520,3.594167,4.962108,11.132938,9.456618,5.847996,4.841410,4.738831,4.868193,4.314896,3.767768,3.749893
1777061056.490241,1,15,0.976224,-0.162847,0.988112,-0.081424,4.645803,4.031321,13.976896,-0.343764,0.988555,-0.073874,3.293041,6.364575,0,0,0,,0.397337,0.000000,0.000000,0.100000,-0.090059,0.000000,-0.000000,-0.003694,0.000000,-0.000010,0.000000,4.045168,3.623376,3.293160,3.293041,3.616997,4.968824,10.979098,9.513866,5.839893,4.816468,4.707064,4.827366,4.441061,3.864534,3.843233
1777061056.644135,1,16,0.976714,-0.165424,0.988357,-0.082712,4.601474,4.172650,13.837258,-0.336308,0.988800,-0.075008,3.354581,6.366644,0,0,0,,0.415061,0.000000,0.000000,0.100000,-0.088428,0.000000,-0.000000,-0.003750,0.000000,-0.000015,0.000000,4.222887,3.716845,3.355559,3.354581,3.660672,4.980043,10.689161,9.637617,5.826644,4.769133,4.645525,4.749020,4.698105,4.059906,4.030902
1777061056.800479,1,17,0.977533,-0.161347,0.988766,-0.080674,4.555891,4.323983,13.687853,-0.328435,0.989212,-0.073074,3.413003,6.373878,0,0,0,,0.451501,0.000000,0.000000,0.100000,-0.086951,0.000000,-0.000000,-0.003654,0.000000,-0.000024,0.000000,4.400892,3.808422,3.415683,3.413003,3.701418,4.988015,10.417917,9.775844,5.817774,4.725299,4.586762,4.674965,4.961781,4.257790,4.219565
1777061056.961483,1,18,0.978289,-0.158099,0.989145,-0.079050,4.514721,4.466381,13.547372,-0.321267,0.989595,-0.071529,3.441656,6.378537,0,0,0,,0.426270,0.000000,0.000000,0.100000,-0.086260,0.000000,-0.000000,-0.003576,0.000000,-0.000020,0.000000,4.490231,3.853786,3.445432,3.441656,3.721328,4.991639,10.293001,9.847873,5.814314,4.704515,4.558450,4.639657,5.095708,4.357614,4.314157
1777061057.121035,1,19,0.978679,-0.160325,0.989340,-0.080162,4.472459,4.618785,13.397116,-0.313597,0.989796,-0.072506,3.496183,6.391022,0,0,0,,0.462255,0.000000,0.000000,0.100000,-0.084932,0.000000,-0.000000,-0.003625,0.000000,-0.000013,0.000000,4.669361,3.943553,3.502605,3.496183,3.758829,4.997274,10.057029,10.001343,5.810124,4.665343,4.503688,4.572173,5.368318,4.559121,4.504130
1777061057.271977,1,20,0.979305,-0.158790,0.989653,-0.079395,4.431922,4.771701,13.246442,-0.305884,0.990116,-0.071750,3.522413,6.399624,0,0,0,,0.467134,0.000000,0.000000,0.100000,-0.084327,0.000000,-0.000000,-0.003588,0.000000,-0.000011,0.000000,4.759000,3.988194,3.530641,3.522413,3.776653,4.998756,9.943418,10.085326,5.809960,4.647099,4.477502,4.539882,5.374007,4.660886,4.599470
1777061057.432540,1,21,0.979698,-0.157599,0.989849,-0.078799,4.395476,4.915505,13.104816,-0.298719,0.990320,-0.071157,3.573395,6.419978,0,0,0,,0.441541,0.000000,0.000000,0.100000,-0.083141,0.000000,-0.000000,-0.003558,0.000000,-0.000008,0.000000,4.938846,4.076421,3.585524,3.573395,3.810833,5.000424,9.725536,10.263360,5.812331,4.612977,4.426712,4.478376,5.264574,4.866335,4.790607
1777061057.591867,1,22,0.980362,-0.144991,0.990181,-0.072496,4.358233,5.069346,12.953368,-0.291601,0.990659,-0.065299,3.597448,6.431867,0,0,0,,0.476816,0.000000,0.000000,0.100000,-0.082613,0.000000,-0.000000,-0.003265,0.000000,-0.000066,0.000000,5.029015,4.120049,3.611842,3.597448,3.826836,5.000526,9.622470,10.357993,5.814960,4.597113,4.402379,4.449121,5.212409,4.970020,4.886658
